,distance,velocity,minttc
942,46,19.6,4.383644352
943,46,20,4.383644352
944,46,20.4,4.383644352
945,46,20.8,4.383633979
946,46,21.2,0.250761842
947,46,21.6,0
948,46,22,0
949,46,22.4,0.810325056
950,46,22.8,0.809847782
951,46,23.2,0.809847782
952,46,23.6,0.807131154
953,46,24,0.809810682
954,46,24.4,0.809839609
955,46,24.8,0.807131083
956,46,25.2,0.807131083
957,46,25.6,0.809839609
958,46,26,0.809839609
959,46,26.4,0.809839609
960,46,26.8,0.809839609
961,46,27.2,2.053084079
962,46,27.6,2.050237715
963,46,28,2.050287097
964,46,28.4,2.053084079
965,46,28.8,2.050306413
966,46,29.2,2.050303497
967,46,29.6,2.050287097
968,46,30,2.050287097
969,48,10,4.666617859
970,48,10.4,4.589453462
971,48,10.8,4.58946432
972,48,11.2,4.666617859
973,48,11.6,4.666617859
974,48,12,4.589458891
975,48,12.4,4.589449843
976,48,12.8,4.58946432
977,48,13.2,4.589458891
978,48,13.6,4.666617859
979,48,14,4.666617859
980,48,14.4,4.666617859
981,48,14.8,4.666617859
982,48,15.2,4.589458891
983,48,15.6,4.58946432
984,48,16,4.589453462
985,48,16.4,4.589453462
986,48,16.8,4.666617859
987,48,17.2,4.666617859
988,48,17.6,4.666617859
989,48,18,4.666617859
990,48,18.4,4.589458891
991,48,18.8,4.589449843
992,48,19.2,4.589453462
993,48,19.6,4.589453462
994,48,20,4.589449843
995,48,20.4,4.666617859
996,48,20.8,4.666617859
997,48,21.2,0.253906173
998,48,21.6,0
999,48,22,0
1000,48,22.4,0.795447311
1001,48,22.8,0.794989931
1002,48,23.2,0.794981301
1003,48,23.6,0.794981301
1004,48,24,0.792284144
1005,48,24.4,0.792284144
1006,48,24.8,0.792284212
1007,48,25.2,0.792284212
1008,48,25.6,0.794986986
1009,48,26,0.79497589
1010,48,26.4,0.794981233
1011,48,26.8,2.051117758
1012,48,27.2,2.054905387
1013,48,27.6,2.053323803
1014,48,28,2.053323803
1015,48,28.4,2.053323803
1016,48,28.8,2.054879944
1017,48,29.2,2.054902824
1018,48,29.6,2.0549182
1019,48,30,2.054902824
1020,50,10,4.777712068
1021,50,10.4,4.7961856
1022,50,10.8,4.796179927
1023,50,11.2,4.7961856
1024,50,11.6,4.7961856
1025,50,12,4.7961856
1026,50,12.4,4.796191274
1027,50,12.8,4.876825871
1028,50,13.2,4.876825871
1029,50,13.6,4.796179927
1030,50,14,4.796191274
